competition,season,sport,country,broadcaster,note,confidence
NBA,2025-26,Basketball,US,ESPN,National windows,established
NBA,2025-26,Basketball,US,ABC,Sunday showcase + Finals,established
NBA,2025-26,Basketball,US,NBC,National windows,established
NBA,2025-26,Basketball,US,Peacock,Streaming simulcast + exclusives,established
NBA,2025-26,Basketball,US,Amazon Prime Video,Exclusive national package,established
NBA,2025-26,Basketball,US,NBA League Pass,Out-of-market,established
Premier League,2025-26,Football,US,NBC,Selected matches,established
Premier League,2025-26,Football,US,Peacock,Full match coverage,established
UEFA Champions League,2025-26,Football,US,CBS,Selected matches,established
UEFA Champions League,2025-26,Football,US,Paramount+,Full coverage,established
UEFA Europa League,2025-26,Football,US,Paramount+,Full coverage,established
UEFA Conference League,2025-26,Football,US,Paramount+,Full coverage,established
Serie A,2025-26,Football,US,Paramount+,Full coverage,established
La Liga,2025-26,Football,US,ESPN+,Full coverage,verify
Bundesliga,2025-26,Football,US,ESPN+,Full coverage,verify
Ligue 1,2025-26,Football,US,Amazon Prime Video,Rights holder changed recently,verify
FA Cup,2025-26,Football,US,ESPN+,Selected ties,verify
EuroLeague,2025-26,Basketball,US,NBA League Pass,No confirmed US holder,verify
Premier League,2025-26,Football,GB,Sky Sports,Largest package,established
Premier League,2025-26,Football,GB,TNT Sports,Selected matches,established
UEFA Champions League,2025-26,Football,GB,TNT Sports,Primary holder,established
UEFA Champions League,2025-26,Football,GB,Amazon Prime Video,One Tuesday pick — check if still active,verify
UEFA Europa League,2025-26,Football,GB,TNT Sports,Primary holder,established
UEFA Conference League,2025-26,Football,GB,TNT Sports,Primary holder,established
FA Cup,2025-26,Football,GB,BBC,Shared coverage,established
FA Cup,2025-26,Football,GB,ITV,Shared coverage,established
La Liga,2025-26,Football,GB,Premier Sports,Full coverage,established
Bundesliga,2025-26,Football,GB,Sky Sports,Full coverage,established
Serie A,2025-26,Football,GB,TNT Sports,Full coverage,verify
Ligue 1,2025-26,Football,GB,TNT Sports,Rights moved in recent seasons,verify
NBA,2025-26,Basketball,GB,Sky Sports,Moved from TNT Sports — confirm season,verify
NBA,2025-26,Basketball,GB,NBA League Pass,All games,established
EuroLeague,2025-26,Basketball,GB,DAZN,Confirm current holder,verify
UEFA Champions League,2025-26,Football,TR,TRT Spor,Selected matches,verify
UEFA Champions League,2025-26,Football,TR,Tabii,Full coverage,verify
UEFA Europa League,2025-26,Football,TR,Tabii,Full coverage,verify
UEFA Conference League,2025-26,Football,TR,Tabii,Full coverage,verify
Premier League,2025-26,Football,TR,S Sport,Full coverage,verify
Premier League,2025-26,Football,TR,S Sport Plus,Streaming simulcast,verify
La Liga,2025-26,Football,TR,S Sport,Full coverage,verify
Serie A,2025-26,Football,TR,S Sport,Full coverage,verify
Bundesliga,2025-26,Football,TR,S Sport,Full coverage,verify
Ligue 1,2025-26,Football,TR,S Sport,Full coverage,verify
NBA,2025-26,Basketball,TR,S Sport,Selected games,verify
NBA,2025-26,Basketball,TR,NBA League Pass,All games,established
EuroLeague,2025-26,Basketball,TR,S Sport,Full coverage,verify
Coppa Italia,2025-26,Football,TR,S Sport,Selected ties,verify
Copa del Rey,2025-26,Football,TR,S Sport,Selected ties,verify
DFB-Pokal,2025-26,Football,TR,S Sport,Selected ties,verify
Coupe de France,2025-26,Football,TR,S Sport,Selected ties,verify
NBA,2026-27,Basketball,US,ESPN,National windows — season not verified,verify
NBA,2026-27,Basketball,US,ABC,Sunday showcase + Finals — season not verified,verify
NBA,2026-27,Basketball,US,NBC,National windows — season not verified,verify
NBA,2026-27,Basketball,US,Peacock,Streaming simulcast + exclusives — season not verified,verify
NBA,2026-27,Basketball,US,Amazon Prime Video,Exclusive national package — season not verified,verify
NBA,2026-27,Basketball,US,NBA League Pass,Out-of-market — season not verified,verify
Premier League,2026-27,Football,US,NBC,Selected matches — season not verified,verify
Premier League,2026-27,Football,US,Peacock,Full match coverage — season not verified,verify
UEFA Champions League,2026-27,Football,US,CBS,Selected matches — season not verified,verify
UEFA Champions League,2026-27,Football,US,Paramount+,Full coverage — season not verified,verify
UEFA Europa League,2026-27,Football,US,Paramount+,Full coverage — season not verified,verify
UEFA Conference League,2026-27,Football,US,Paramount+,Full coverage — season not verified,verify
Serie A,2026-27,Football,US,Paramount+,Full coverage — season not verified,verify
La Liga,2026-27,Football,US,ESPN+,Full coverage — season not verified,verify
Bundesliga,2026-27,Football,US,ESPN+,Full coverage — season not verified,verify
Ligue 1,2026-27,Football,US,Amazon Prime Video,Rights holder changed recently — season not verified,verify
FA Cup,2026-27,Football,US,ESPN+,Selected ties — season not verified,verify
EuroLeague,2026-27,Basketball,US,NBA League Pass,No confirmed US holder — season not verified,verify
Premier League,2026-27,Football,GB,Sky Sports,Largest package — season not verified,verify
Premier League,2026-27,Football,GB,TNT Sports,Selected matches — season not verified,verify
UEFA Champions League,2026-27,Football,GB,TNT Sports,Primary holder — season not verified,verify
UEFA Champions League,2026-27,Football,GB,Amazon Prime Video,One Tuesday pick — check if still active — season not verified,verify
UEFA Europa League,2026-27,Football,GB,TNT Sports,Primary holder — season not verified,verify
UEFA Conference League,2026-27,Football,GB,TNT Sports,Primary holder — season not verified,verify
FA Cup,2026-27,Football,GB,BBC,Shared coverage — season not verified,verify
FA Cup,2026-27,Football,GB,ITV,Shared coverage — season not verified,verify
La Liga,2026-27,Football,GB,Premier Sports,Full coverage — season not verified,verify
Bundesliga,2026-27,Football,GB,Sky Sports,Full coverage — season not verified,verify
Serie A,2026-27,Football,GB,TNT Sports,Full coverage — season not verified,verify
Ligue 1,2026-27,Football,GB,TNT Sports,Rights moved in recent seasons — season not verified,verify
